experiment_id,group,method,method_id,variant,seed,path,manifest_status,started,unstarted,resolved,infrastructure_missing,action_counts,audit_nfe,best_cost,best_cv,budget_checkpoints,completed_at,cv_d,cv_e,cv_r,cv_soc,feasible,first_feasible_nfe,llm_call_count,outcome,search_nfe,selector_fallbacks,selector_seconds,started_at,status,total_emissions,validation_failures,wall_seconds
adaptive_non_llm_formal,formal,Rule,Rule,default,310001,D:\FileRecv\personal\paper\ship-op\code\case2_design\results\adaptive_non_llm_formal\Rule\seed_310001,complete,True,False,True,False,"{'A1': 19, 'A3': 5, 'A4': 1}",1,42398.08264772133,0.0,"{'100': {'best_cost': 42398.08264772133, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 300600}, '25': {'best_cost': 43408.99211062866, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 75000}, '50': {'best_cost': 42940.731734557594, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 150000}, '75': {'best_cost': 42577.372421917855, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 225000}}",2026-08-22T14:44:05.934990+00:00,0.0,0.0,0.0,0.0,True,8400,0,feasible,300600,0,0.0,2026-08-22T14:43:56.546420+00:00,complete,44744.203680617116,[],9.3822414
adaptive_non_llm_formal,formal,Rule,Rule,default,310002,D:\FileRecv\personal\paper\ship-op\code\case2_design\results\adaptive_non_llm_formal\Rule\seed_310002,complete,True,False,True,False,"{'A1': 19, 'A3': 5, 'A4': 1}",1,42523.3936617837,0.0,"{'100': {'best_cost': 42523.3936617837, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 300600}, '25': {'best_cost': 42993.034151849424, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 75000}, '50': {'best_cost': 42611.913691525406, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 150000}, '75': {'best_cost': 42532.8928460052, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 225000}}",2026-08-22T14:44:05.982031+00:00,0.0,0.0,0.0,0.0,True,5400,0,feasible,300600,0,0.0,2026-08-22T14:43:56.549727+00:00,complete,44865.89006575279,[],9.4231482
adaptive_non_llm_formal,formal,Rule,Rule,default,310003,D:\FileRecv\personal\paper\ship-op\code\case2_design\results\adaptive_non_llm_formal\Rule\seed_310003,complete,True,False,True,False,"{'A1': 19, 'A3': 5, 'A4': 1}",1,42406.590306148646,0.0,"{'100': {'best_cost': 42406.590306148646, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 300600}, '25': {'best_cost': 43752.45921565169, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 75000}, '50': {'best_cost': 43239.844863685445, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 150000}, '75': {'best_cost': 42864.40757764253, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 225000}}",2026-08-22T14:44:05.907897+00:00,0.0,0.0,0.0,0.0,True,6600,0,feasible,300600,0,0.0,2026-08-22T14:43:56.564233+00:00,complete,44767.38409534092,[],9.336902700000001
adaptive_non_llm_formal,formal,Rule,Rule,default,310004,D:\FileRecv\personal\paper\ship-op\code\case2_design\results\adaptive_non_llm_formal\Rule\seed_310004,complete,True,False,True,False,"{'A1': 19, 'A3': 5, 'A4': 1}",1,42408.12452751227,0.0,"{'100': {'best_cost': 42408.12452751227, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 300600}, '25': {'best_cost': 43025.478961833345, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 75000}, '50': {'best_cost': 42687.37711431322, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 150000}, '75': {'best_cost': 42472.817279051844, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 225000}}",2026-08-22T14:44:06.020183+00:00,0.0,0.0,0.0,0.0,True,7800,0,feasible,300600,0,0.0,2026-08-22T14:43:56.572910+00:00,complete,44734.39740563135,[],9.4394203
adaptive_non_llm_formal,formal,Rule,Rule,default,310005,D:\FileRecv\personal\paper\ship-op\code\case2_design\results\adaptive_non_llm_formal\Rule\seed_310005,complete,True,False,True,False,"{'A1': 19, 'A3': 5, 'A4': 1}",1,42412.59094804584,0.0,"{'100': {'best_cost': 42412.59094804584, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 300600}, '25': {'best_cost': 43116.146963091735, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 75000}, '50': {'best_cost': 42636.82089209698, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 150000}, '75': {'best_cost': 42491.77565672403, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 225000}}",2026-08-22T14:44:15.329856+00:00,0.0,0.0,0.0,0.0,True,7200,0,feasible,300600,0,0.0,2026-08-22T14:44:06.021258+00:00,complete,44745.017876271624,[],9.302116600000002
adaptive_non_llm_formal,formal,Rule,Rule,default,310006,D:\FileRecv\personal\paper\ship-op\code\case2_design\results\adaptive_non_llm_formal\Rule\seed_310006,complete,True,False,True,False,"{'A1': 19, 'A3': 5, 'A4': 1}",1,42411.99536395243,0.0,"{'100': {'best_cost': 42411.99536395243, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 300600}, '25': {'best_cost': 43267.441164555494, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 75000}, '50': {'best_cost': 42731.77876478662, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 150000}, '75': {'best_cost': 42510.26685800927, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 225000}}",2026-08-22T14:44:15.331203+00:00,0.0,0.0,0.0,0.0,True,6000,0,feasible,300600,0,0.0,2026-08-22T14:44:06.045241+00:00,complete,44771.583711096915,[],9.278635099999999
adaptive_non_llm_formal,formal,Rule,Rule,default,310007,D:\FileRecv\personal\paper\ship-op\code\case2_design\results\adaptive_non_llm_formal\Rule\seed_310007,complete,True,False,True,False,"{'A1': 19, 'A3': 5, 'A4': 1}",1,42402.28099909218,0.0,"{'100': {'best_cost': 42402.28099909218, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 300600}, '25': {'best_cost': 43842.41853661068, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 75000}, '50': {'best_cost': 42779.82968596769, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 150000}, '75': {'best_cost': 42594.46405444331, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 225000}}",2026-08-22T14:44:15.524603+00:00,0.0,0.0,0.0,0.0,True,6600,0,feasible,300600,0,0.0,2026-08-22T14:44:06.100923+00:00,complete,44717.81387122335,[],9.4157089
adaptive_non_llm_formal,formal,Rule,Rule,default,310008,D:\FileRecv\personal\paper\ship-op\code\case2_design\results\adaptive_non_llm_formal\Rule\seed_310008,complete,True,False,True,False,"{'A1': 19, 'A3': 5, 'A4': 1}",1,42417.72163936704,0.0,"{'100': {'best_cost': 42417.72163936704, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 300600}, '25': {'best_cost': 43314.12660348053, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 75000}, '50': {'best_cost': 42673.76800482201, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 150000}, '75': {'best_cost': 42552.35314617636, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 225000}}",2026-08-22T14:44:15.439438+00:00,0.0,0.0,0.0,0.0,True,6000,0,feasible,300600,0,0.0,2026-08-22T14:44:06.130382+00:00,complete,44772.60572256295,[],9.301763999999999
adaptive_non_llm_formal,formal,Rule,Rule,default,310009,D:\FileRecv\personal\paper\ship-op\code\case2_design\results\adaptive_non_llm_formal\Rule\seed_310009,complete,True,False,True,False,"{'A1': 19, 'A3': 5, 'A4': 1}",1,42379.780605418695,0.0,"{'100': {'best_cost': 42379.780605418695, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 300600}, '25': {'best_cost': 42814.06510950551, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 75000}, '50': {'best_cost': 42534.973253795775, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 150000}, '75': {'best_cost': 42431.05456559756, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 225000}}",2026-08-22T14:44:24.946606+00:00,0.0,0.0,0.0,0.0,True,5400,0,feasible,300600,0,0.0,2026-08-22T14:44:15.448608+00:00,complete,44726.00663053745,[],9.491627399999999
adaptive_non_llm_formal,formal,Rule,Rule,default,310010,D:\FileRecv\personal\paper\ship-op\code\case2_design\results\adaptive_non_llm_formal\Rule\seed_310010,complete,True,False,True,False,"{'A1': 19, 'A3': 5, 'A4': 1}",1,42388.374244485196,0.0,"{'100': {'best_cost': 42388.374244485196, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 300600}, '25': {'best_cost': 42747.797476884734, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 75000}, '50': {'best_cost': 42501.07581586236, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 150000}, '75': {'best_cost': 42426.97077891017, 'best_cv': 0.0, 'feasible': True, 'search_nfe': 225000}}",2026-08-22T14:44:24.989266+00:00,0.0,0.0,0.0,0.0,True,6600,0,feasible,300600,0,0.0,2026-08-22T14:44:15.448608+00:00,complete,44719.92809859816,[],9.5338466
